venture_id,company_name,country,sector,funding_stage,team_size,total_capital_raised,last_valuation,revenue_ttm,revenue_growth_pct,gross_margin_pct,burn_rate_monthly,patent_count,founder_background_score,local_employees,local_patents_filed,national_strategy_alignment,competitive_intensity,regulatory_moat,investment_outcome,time_to_outcome_months,is_pre_revenue,is_esg_missing,political_stability_norm,rule_of_law_norm,ip_protection_score,company_age,months_since_funding,capital_efficiency,valuation_multiple,runway_months,bilateral_composite,sanctions_exposure,country_risk_composite,tech_transfer_proxy,employment_impact,esg_composite,esg_risk_flag,bilateral_x_techtransfer,funding_stage_num,stability_x_stage,esg_x_competition,region,outcome_binary,outcome_numeric,founding_year,last_funding_date
V0011,Helix Solar,United Kingdom,Energy & Clean Tech,Series C,337,110975560.750832,544686685.176456,6164055.62514419,4.61580948854996,41.4687425000022,207107.620056008,10,1,75,0,2,25,52.3335133839364,Still Active,,0,0,76.5486814347023,82.8029235071628,96.7649089437959,9,63.5,0.0555442620288623,88.3649853766066,120.0,36.9318013806387,0,83.0095504339133,48.3824544718979,67.5824474258735,54.1689346076974,0,17.8685119886393,4,51.0324542898015,176.487618313651,Europe,0,0,2017,2020-12-23
V0012,Zephyr Carbon,China,Climate & Sustainability,Series D,113,1276740437.99623,7619436582.49552,14138607.583641,13.6012350382278,22.7841394674982,6610565.36758255,19,3,3,1,4,32,30.5679233987577,Write-off,45.0,0,0,38.3774172544012,44.2364083831011,64.8723061387732,3,-5.1,0.0110739874471515,538.909969558214,48.2840864208536,32.716457336406,0,49.4480551663614,33.3620789953125,0.234973367390815,44.0175611811989,0,10.9148903410394,5,31.9811810453344,153.907735507375,East Asia,0,1,2023,2026-08-12
V0013,QuantumMarket,Saudi Arabia,Digital Economy,Series A,8,2000000.0,12911299.9653274,575489.379495826,55.0353155659424,86.3648756720656,12821.6290031131,1,3,15,10,3,30,11.7551813403024,Successful Exit,24.0,0,0,54.8163019746271,51.5647958131368,70.2091627158614,9,53.9,0.287744689747913,22.4353401215478,38.9966048681174,52.8961259307904,0,64.2935979906452,44.3638406171899,750.0,40.9838880262691,0,23.4667530006039,2,18.272100658209,140.73814707226,MENA,1,3,2017,2021-10-07
V0014,CipherPay Inc,United States,Fintech,Series C,135,151318635.416666,915392277.635814,1600000.0,-2.93124367000103,84.6439424771738,893234.304620123,0,5,1,1,1,89,59.8385139272038,Write-off,34.0,0,0,69.3554609061044,80.5718329433272,98.5643778958133,10,53.1,0.0105737141733685,572.120173522384,42.351327819026,39.8319762756543,4,77.6122900286197,50.2081148738325,0.660857135835535,51.3559238339296,0,19.9988844049982,4,46.2369739374029,231.091882696661,Americas,0,1,2016,2021-11-01
V0015,KineticPay Inc,Japan,Fintech,Series A,39,4525034.84993526,14278720.1186555,199415.337171855,31.5276287176001,73.6198411311318,10306.1601560713,3,2,0,0,4,100,71.4954350267855,Partial Return,28.0,0,0,85.4894979077927,85.2474689793519,95.2843506504009,6,26.5,0.0440693483663906,71.6029184172036,109.76529525571,38.0208224238968,0,78.7829048079047,47.6421753252004,0.0,50.9198237333397,0,18.113946879276,2,28.4964993025975,235.001123225676,East Asia,0,2,2020,2024-01-09
V0016,Kinetic Fi,Mexico,Fintech,Seed,16,100000.0,417389.488839,0.0,75.9039967713772,78.2184514964706,227.280104317054,1,2,0,2,3,78,42.2523109045889,Write-off,24.0,1,0,39.3621088197622,43.0281614792726,48.5340266672409,2,14.8,0.0,,109.996429626436,11.5138708006498,4,50.1022747889517,26.1188651854723,0.0,77.0055740345554,0,3.0072923920512,1,6.56035146996037,336.471840093278,Americas,0,1,2024,2024-12-25
V0017,Pulse.gene,Canada,Healthtech & Biotech,Series D,794,342289893.225882,2236729435.05778,22003442.688005,50.1830590960487,52.4835042683024,1615371.69944897,13,3,52,4,1,36,81.9457841371985,Partial Return,75.0,0,0,86.7213135079183,82.332512068855,91.9623214335265,10,63.9,0.064283062758983,101.653612426618,52.9738594130754,28.1342418020489,0,82.8654478692652,49.6848644204669,15.191801168866,50.4205790306573,0,13.9784598950743,5,72.2677612565986,182.064571987694,Americas,0,2,2016,2020-12-12
V0018,ForgeHarvest,France,Agritech & Food,Seed,3,100000.0,734104.606884841,0.0,102.266117619761,44.949252832813,495.472847300592,2,3,0,0,5,17,54.0245342640688,Still Active,,1,0,68.1726548180705,74.7253762923445,94.0464742026873,13,-5.3,0.0,,50.4568517451634,29.8667126128456,0,77.3139693330433,47.0232371013436,0.0,54.9385164607227,0,14.0442950863153,1,11.362109136345,158.792736398786,Europe,0,0,2013,2026-08-18
V0019,Zephyr Neural,United States,Deeptech / AI,Pre-IPO,969,1178179263.02276,3251215464.03196,355895322.622051,16.5773907308439,81.1785867754002,5595305.74891423,18,3,91,0,4,57,20.6529190399204,Still Active,,0,0,72.2012179264299,74.8643368524358,98.4247091851843,8,31.6,0.302072302400705,9.13531383351348,52.6414156747102,47.7716178323084,0,77.5309379969546,49.2123545925921,7.72378218290216,46.1512298502436,0,23.5095379622536,6,72.2012179264299,187.394438673543,Americas,0,0,2018,2023-08-07
V0020,ZenithGene Inc,South Korea,Healthtech & Biotech,Seed,5,100000.0,273226.009438487,0.0,181.437678140376,40.8265897874396,609.363006618014,10,3,0,0,2,19,69.6652976784889,Partial Return,71.0,1,0,71.0195096175555,75.7712675570694,90.9949875849867,4,1.1,0.0,,41.0264484855273,29.7057482834986,0,71.8785754242518,45.4974937924933,0.0,62.5296789594527,0,13.5153709812984,1,11.8365849362592,187.322177313802,East Asia,0,2,2022,2026-02-08
V0021,ZephyrDefense,United States,Defense & Aerospace,Series C,241,67037868.488255,404823246.444825,9048858.2797806,41.7569618185864,44.1720604323351,189160.081144346,51,2,1,0,3,3,63.1794030900988,Still Active,,0,0,72.4613813326775,77.9376074855516,98.8273018621526,6,68.1,0.134981294659837,44.7374943808536,88.5993864068747,43.2766635851692,20,76.1700276888139,49.4136509310763,1.49169420590274,51.2358335349211,1,21.3845794785917,4,48.3075875551183,71.0279471167385,Americas,0,0,2020,2020-08-08
V0022,EchoPay,United Kingdom,Fintech,Series A,20,2000000.0,11028507.695796,12733.6150187283,89.1557974554118,64.8838060342416,5056.27844036688,0,3,0,1,2,112,60.6314389175678,Still Active,,0,0,75.3198304987115,81.9972077948598,96.4148365167843,3,10.9,0.0063668075093641,866.094010190785,98.8869592323558,36.7839662176363,0,84.1289421142269,49.133344184318,0.0,67.0474245767205,0,18.0731927263545,2,25.1066101662371,316.959178220022,Europe,0,0,2023,2025-04-21
V0023,PulseGene,United States,Healthtech & Biotech,Series A,15,4278815.6836682,14352708.6201977,313697.771998701,43.7241687067525,55.9514976983278,26689.1317630176,14,2,1,0,2,39,74.2203185491607,Write-off,38.0,0,0,65.8920624903071,72.1489832032516,98.4665601832441,1,12.6,0.0733141586808829,45.7533011112912,40.0801318834698,41.8435187964055,0,77.157837023436,49.233280091622,23.3709529442199,45.6996124211773,0,20.6009368092248,2,21.9640208301023,168.580361321451,Americas,0,1,2025,2025-03-01
V0024,Nexus.pharma,Thailand,Healthtech & Biotech,Seed,7,100000.0,551560.369933328,0.0,4.07153042904271,42.9134270029681,527.741479449275,16,3,0,1,4,67,57.0670154987524,Still Active,,1,0,47.9719018945133,49.3592103692972,59.3074623124504,3,12.6,0.0,,47.3716790768251,38.5697705583461,0,56.1826285633025,30.5796570821511,0.0,50.8327309579161,0,11.7945035741147,1,7.99531698241888,214.489099952071,Southeast Asia,0,0,2023,2025-02-28
V0025,Apex.labs,Singapore,Deeptech / AI,Series B,19,25701867.1198981,201640218.892515,403294.88138683,46.5411887624387,54.0814015035454,134300.031151059,15,3,0,2,3,50,9.27436280430766,Partial Return,49.0,0,0,87.1320835422904,98.8588592077711,94.9772248095525,5,47.1,0.0156912678563575,499.98209300134,47.8441198032728,27.3890917498211,0,89.2756225409052,49.3404642566281,0.0,56.4535750460999,0,13.5139050250356,3,43.5660417711452,221.965613425182,Southeast Asia,0,2,2021,2022-05-01
V0026,Prism Construct,United States,Infrastructure,Series A,31,4941119.88918924,29498244.6719991,530654.735602136,132.887962851539,11.2242630828133,16520.936016072,4,1,0,0,2,11,59.3228820863356,Partial Return,77.0,0,0,73.0364843237522,86.6377551138388,98.1979530851608,6,50.4,0.107395640563825,55.5883942852735,74.7705802562032,26.9629700797077,0,78.634918444238,49.0989765425804,0.0,54.9017165961072,0,13.2385423546186,2,24.345494774584,136.425640654443,Americas,0,2,2020,2022-01-21
V0027,Cipher.capital,Japan,Fintech,Series B,32,20465443.9474225,101718912.213444,2230469.5136962,77.8258009442698,76.5390814824765,98357.4672877088,1,3,0,0,3,82,81.8608892854921,Write-off,31.0,0,0,77.5391970397834,82.1770663009884,95.2724153289517,14,-2.7,0.108987106237542,45.6042602639665,52.0180229111592,34.4593142428742,0,75.3350176870319,47.6362076644758,0.0,66.8766363034219,0,16.4151104924899,3,38.7695985198917,295.517196210404,East Asia,0,1,2012,2026-06-01
V0028,VoltFarm Inc,India,Agritech & Food,Seed,22,100000.0,705142.868366766,0.0,119.470447942819,48.2178000500483,530.017677752275,19,5,7,3,2,25,43.1102391084573,Still Active,,1,0,47.4839463636447,50.8545262764841,62.0803883304257,1,14.3,0.0,,47.1682380595704,58.3966430939086,0,53.9312835979105,33.8179719429906,1000.0,61.0608976467347,0,19.7485603771464,1,7.91399106060745,198.94229923131,South Asia,0,0,2025,2025-01-08
V0029,Quantum Move,Indonesia,Logistics & Mobility,Seed,20,100000.0,784535.29446663,200564.916437047,38.8037289185006,30.5463556959128,466.804497076843,2,1,0,0,1,13,34.0752260639004,Successful Exit,36.0,0,0,39.9710448614954,42.4707981080926,56.6270321889014,8,38.6,2.00564916437047,3.9116277582519,53.5556108746839,8.68219460717842,4,49.2681609379113,28.3135160944507,0.0,77.9009581690584,0,2.45823456745499,1,6.66184081024923,205.585094640105,Southeast Asia,1,3,2018,2023-01-11
V0030,AtlasSolar,Saudi Arabia,Energy & Clean Tech,Seed,47,453135.197499026,2165440.38358757,0.0,-13.038040869415,12.5854052771514,2423.26315862603,20,1,145,2,5,40,54.3573885232574,Still Active,,1,0,54.5377960792454,57.3660150268027,70.4444119298202,11,26.6,0.0,,46.7484511418013,28.87615541132,0,64.2940974585403,37.0740578167619,1000.0,48.5599041746963,0,10.7055625524508,1,9.08963267987424,180.33070370499,MENA,0,0,2015,2024-01-05
V0031,NovaRoute,United States,Logistics & Mobility,Series A,40,2842538.02401638,15357446.7118411,200000.0,27.1101087099688,38.3065871890298,13123.7665670977,4,1,1,0,1,54,34.4715161580653,Write-off,43.0,0,0,71.4414432838409,80.7570434755903,98.7131560626029,5,45.9,0.0703596568665802,76.7872335592055,54.1486700766004,37.8268141749129,0,77.8317409786125,49.3565780313014,35.1798284332901,49.2328905525626,0,18.6700210549962,2,23.8138144279469,197.292596116202,Americas,0,1,2021,2022-06-04
V0032,Prism.fund,China,Fintech,Series C,184,116968072.89932,617003006.055347,17112487.7765189,34.3542319902686,87.3076439027679,769278.700481055,8,1,5,0,2,93,70.7536871856263,Successful Exit,29.0,0,0,40.1453740695502,45.5804187986174,66.4258679312155,9,3.3,0.146300501943366,36.0557163933799,38.0122551248906,23.3299076627827,0,50.4240546279664,33.2129339656077,4.27467075079855,47.346265506598,0,7.7485468262773,4,26.7635827130334,215.108041036097,East Asia,1,3,2017,2025-12-03
V0033,Cryo.solar,Saudi Arabia,Energy & Clean Tech,Series D,746,337847647.721009,2555935222.16591,41034671.3299959,12.9348323803806,64.5548569259678,1394190.21992153,6,4,2000,4,3,49,43.8490589789102,Partial Return,47.0,0,0,55.1258800340601,52.8138007442873,72.6606609012859,6,46.0,0.121459100298018,62.2872107738207,60.581340138081,57.6048076558122,0,66.0267406555082,40.0340341543466,591.982810444657,45.290273231244,0,23.0615283714735,5,45.9382333617168,177.176590802753,MENA,0,2,2020,2022-06-01
V0034,Titan Market,Poland,Digital Economy,Seed,7,100000.0,410967.458985671,9095.35674602213,140.123341074102,65.0874389246546,172.901158761786,6,4,0,0,3,30,4.43464734883648,Partial Return,18.0,0,0,62.5605081293352,65.4006746217904,71.7684102959985,6,66.0,0.0909535674602213,45.1843144212467,120.0,6.8621091602101,0,67.7802845880123,35.8842051479992,0.0,63.6735166423949,0,2.46241332852944,1,10.4267513548892,218.654041414556,Europe,0,2,2020,2020-10-09
V0035,Atlas.climate,Canada,Climate & Sustainability,Series B,18,30016239.1304347,84368758.3147229,3491196.01020579,2.770298166373,10.5822672161939,74541.7093719598,25,2,0,0,4,40,33.1606811988595,Still Active,,0,0,74.7484307583524,95.3289472699828,92.7019421509091,7,36.8,0.116310241100988,24.1661476663264,100.66927423362,23.7319115113472,0,80.5095670935001,46.3509710754545,0.0,57.6368035094695,0,10.999971440277,3,37.3742153791762,214.038423526891,Americas,0,0,2019,2023-03-05
V0036,NeoConstruct Inc,Saudi Arabia,Infrastructure,Series C,142,137434702.871731,1036267915.69358,3320456.47283623,27.4248287184993,23.3311668037719,891601.919362678,2,4,137,0,2,17,61.8711276375315,Still Active,,0,0,55.946039985511,56.2846448016759,71.4366413535343,3,8.2,0.0241602477646074,312.085981000207,38.5358925006493,27.0674349641289,4,65.3676583448838,35.7183206767671,99.6837022508522,43.4391044418128,0,9.66803321946296,4,37.2973599903407,125.555160666917,MENA,0,0,2023,2025-07-10
V0037,AxiomMed,United States,Healthtech & Biotech,Series A,9,3731913.59307302,13785211.5542835,155816.036193459,29.3324578707753,57.284807082961,14980.9055529857,10,2,0,0,3,31,67.5666778341507,Partial Return,85.0,0,0,65.6268661269494,78.0743285112853,98.4706434093475,9,77.9,0.0417523161529454,88.4710707001173,62.277837275485,27.0452740915598,0,74.1050586659212,49.2353217046737,0.0,56.9118303531412,0,13.3158277048902,2,21.8756220423164,197.241373748928,Americas,0,2,2017,2019-10-20
V0038,NimbusEnergy,India,Energy & Clean Tech,Series A,216,4296104.35791972,19696151.4140608,82266.6692202159,99.6515024177831,24.8119813650311,9749.03765076686,37,3,7,8,4,30,52.1987466315882,Still Active,,0,0,45.3210754764445,43.4545121623246,61.1930761992712,7,20.8,0.0191491319498698,239.418364700496,110.167395793722,51.7947477982471,0,53.0832925171032,38.003945507043,162.938313802729,51.1328530305296,0,19.6840477287562,2,15.1070251588148,175.589563035658,South Asia,0,0,2019,2024-06-28
V0039,TeraWorks,Germany,Advanced Manufacturing,Series B,195,17825320.6753488,96611525.6682758,2791512.34746092,53.5652743172639,49.437161974251,43596.5897161935,11,3,1,0,2,6,45.2995713592112,Still Active,,0,0,75.4446053019387,83.3366345574438,96.876645108074,6,56.0,0.156603765974398,34.6090268080493,102.217402733726,34.7065002279607,0,81.2307482139082,48.438322554037,5.60999725173489,58.9206797662123,0,16.8112465276372,3,37.7223026509693,114.65434874631,Europe,0,0,2020,2021-08-06
V0040,Drift Compute,United States,Deeptech / AI,Seed,68,147520.973478212,1157354.10367733,0.0,30.1396663786022,42.4747781415007,267.221630193464,17,2,4,0,5,65,33.9634856202457,Write-off,61.0,1,0,74.2885898271555,80.3380179019344,98.3133990378874,5,55.4,0.0,,120.0,40.321563323736,0,77.5670016329587,49.1566995189437,1000.0,68.9050270213942,0,19.8207497243895,1,12.3814316378592,288.688273209643,Americas,0,1,2021,2021-08-25
V0041,SynFund Inc,South Korea,Fintech,Seed,12,770806.572692319,4196252.81302233,5323.99389334098,131.252583273346,71.8159682042069,2156.99761198485,2,3,0,1,1,102,72.6924805537962,Still Active,,0,0,63.0547253419269,70.226983513875,91.9192833321292,3,29.7,0.0069070426770558,788.177615731458,89.3379028805494,29.7097229025657,0,72.7926625939586,46.8855675919905,0.0,52.9984742194866,0,13.9295722128755,1,10.5091208903211,245.633564796996,East Asia,0,0,2023,2023-10-03
V0042,Neo.farm,Canada,Agritech & Food,Seed,18,100000.0,496258.818601663,11929.2794016924,-17.3658071191284,52.4900310453859,659.989282174751,0,4,0,0,4,11,36.1816637880619,Still Active,,0,0,81.6771762229657,84.4760713585564,92.185349532657,8,38.5,0.119292794016924,41.600066683932,37.879403007306,30.6415733631038,0,81.2978804282308,46.0926747663285,0.0,45.6194328732504,0,14.1235207535414,1,13.6128627038276,113.360032106297,Americas,0,0,2018,2023-01-12
V0043,PulsePower,China,Energy & Clean Tech,Series B,42,38871591.9062517,221957242.146903,1256591.55956113,-4.66237408397321,44.4717756648978,128693.842163752,8,5,1,0,5,19,56.5029825062604,Successful Exit,68.0,0,0,40.4328697351122,43.5839623842385,65.8517280179838,5,-7.1,0.0323267326584337,176.634357009704,75.511755754387,32.5959463253047,0,50.4593949595984,32.9258640089919,2.57257279920961,36.6897061341847,0,10.7324969595138,3,20.2164348675561,109.912536773389,East Asia,1,3,2021,2026-10-12
V0044,Omni Hub,United States,Digital Economy,Seed,24,103254.176154338,809455.422544692,205168.029405461,26.8897902920526,77.3526317987776,301.288148231773,2,2,1,0,1,22,7.06163324871549,Still Active,,0,0,66.8336170424465,83.5850488059226,98.3673576874591,11,50.0,1.98701918941067,3.94532922546627,85.67726341073,35.0749020609267,0,77.3352059952241,49.1836788437295,968.483830140926,35.4743674595902,0,17.2511271843988,1,11.138936173741,111.22967398329,Americas,0,0,2015,2022-02-01
V0045,HeliosLedger,United States,Fintech,Seed,4,192649.885966315,1511406.35015546,0.0,-38.9740627185414,73.8710678295182,964.168807074,1,5,0,1,3,70,44.9054158972775,Still Active,,1,0,70.1879394714025,73.6281486517692,98.3625675426081,1,9.5,0.0,,49.9523228071848,41.5932144829338,0,76.5891925449621,50.10720969723,0.0,54.3536693761545,0,20.8411992007822,1,11.6979899119004,231.69229269309,Americas,0,0,2025,2025-06-01
V0046,OmniBuild Inc,Israel,Advanced Manufacturing,Series A,3,9411419.6699009,32274814.4039511,85903.5497561415,55.4974640051804,10.4378755195254,47411.4915643335,10,3,0,1,2,9,32.2695026390731,Still Active,,0,0,51.0883311172169,69.6650817121293,92.6336918719233,8,33.4,0.0091275867795879,375.709903671864,49.6262581041685,0.0,0,65.3955906389773,47.2427718618876,0.0,45.6084876529717,0,0.0,2,17.0294437057389,105.017423783735,MENA,0,0,2018,2023-06-16
V0047,Nimbus Med,Saudi Arabia,Healthtech & Biotech,Seed,6,121226.102576102,838633.70173158,12072.2159357063,75.1527169361315,57.0952720597541,788.676954623385,10,3,7,19,1,48,65.9965330718682,Write-off,43.0,0,0,56.1414015250177,54.9041059311182,66.5806778331569,4,7.7,0.0995842947943311,69.4680832581138,38.4270460374967,25.2663117140577,0,64.2738638952732,50.882931509171,1000.0,57.4167567920357,0,12.8562400843576,1,9.35690025416963,223.455699534925,MENA,0,1,2022,2025-07-26
V0048,Titan.crop,Brazil,Agritech & Food,Seed,3,100000.0,712604.482892138,0.0,55.6697785137655,37.626914442525,531.465530523688,1,1,0,0,5,20,54.7367495105418,Still Active,,1,0,43.4998491745643,40.3988062049302,58.4316959759964,15,66.6,0.0,,47.039739294787,16.4908421833254,0,52.7225931538253,29.2158479879982,0.0,44.4372437849223,0,4.81793938422104,1,7.24997486242739,135.290185773781,Americas,0,0,2011,2020-09-21
V0049,Flux Ship,Japan,Logistics & Mobility,Series D,794,390436108.857156,2459285823.12357,15498577.6801468,28.0837354036407,14.9372474339214,865401.796620747,4,3,94,0,1,25,29.5821332420012,Successful Exit,49.0,0,0,81.0181862559482,78.3076700151487,95.7393248448213,10,44.8,0.0396955540959382,158.678162207995,112.790414343298,35.165278802173,0,77.1814342106578,47.8696624224106,24.075642049386,58.1951527382927,0,16.8335002524998,5,67.5151552132902,189.605425666263,East Asia,1,3,2016,2022-07-08
V0050,PulseCapital Inc,United States,Fintech,Seed,52,100000.0,611478.402541995,0.0,36.5964968371158,82.8060265638137,659.465681913072,2,2,4,0,2,97,57.0683404208717,Successful Exit,38.0,1,0,67.8576895758953,84.168106756204,98.5512334115856,7,13.5,0.0,,37.9094783635691,41.9848518821407,0,73.4549516131938,49.2756167057928,1000.0,48.776153189902,0,20.6882946879385,1,11.3096149293158,223.637076110354,Americas,1,3,2019,2025-02-01
V0051,AetherClimate,Japan,Climate & Sustainability,Series B,19,27569152.3550128,135773209.5216,450001.068524438,7.55910004962783,40.5568139077894,149365.613936115,15,2,0,0,3,29,19.7159971985648,Still Active,,0,0,70.4445219192854,81.7511599225211,95.4697066841341,2,25.0,0.0163226298266154,301.717526953443,46.1437402299372,37.9314069876025,0,72.5608326209261,47.734853342067,0.0,58.5829351954191,0,18.1065014961146,3,35.2222609596427,199.252125796743,East Asia,0,0,2024,2024-02-22
V0052,Nimbus.infra,China,Infrastructure,Series A,85,2000000.0,12058649.2583139,0.0,28.110729443853,26.586959655334,5925.49818020425,1,1,3,4,4,13,53.4472531057198,Still Active,,1,0,38.555407354969,45.0793578434633,64.6742725657574,6,9.5,0.0,,84.3810908035356,42.0461437772541,0,49.7057669859582,36.0408399865824,150.0,47.9146310000022,0,15.1537833992885,2,12.8518024516563,126.449458136366,East Asia,0,0,2020,2025-06-01
V0053,Nimbus Platform,Canada,Digital Economy,Series B,130,19468353.2608695,127647420.239138,1817515.92868619,9.49059976823208,87.5701475047974,57872.5329151287,6,2,1,0,3,125,12.2728471994567,Partial Return,30.0,0,0,82.1776691297938,80.9103517700368,91.9184299869901,2,21.5,0.0933574557812914,70.2318027723747,84.100143367754,28.8324566598048,0,77.9554959499808,45.959214993495,5.13654127085289,39.472265772413,0,13.251170744186,3,41.0888345648969,190.899004781501,Americas,0,2,2024,2024-06-05
V0054,Lunar Market,United States,Digital Economy,Series B,17,64025854.5525596,203314828.747628,1241795.04682455,24.706091030058,68.6949436034887,414032.974058899,4,3,0,1,4,73,29.0478234481986,Write-off,24.0,0,0,70.4419487382374,75.9409855027237,98.3997598255721,7,80.1,0.0193952123794793,163.726557991621,38.6598764857382,45.0976702540342,0,75.1568861431126,50.125805838712,0.0,43.8849443929453,0,22.6055706293198,3,35.2209743691187,188.883657278882,Americas,0,1,2019,2019-08-14
V0055,KineticLogistics Inc,China,Logistics & Mobility,Seed,8,108935.606553866,426517.190518522,0.0,115.761039826671,14.4355382008239,286.484223549045,1,3,0,0,2,42,40.6580760443926,Successful Exit,48.0,1,0,38.5674299799714,43.956305324073,65.6219022945209,6,50.8,0.0,,95.0624830264142,32.1344479601819,0,50.0436729032762,32.8109511472604,0.0,65.5460749646829,0,10.5436180216571,1,6.4279049966619,246.531904740424,East Asia,1,3,2020,2022-01-10
